seed,experiment,removed_type,removed_name,kept_features,feature_count,acc,prec,rec,f1,auc,tp,tn,fp,fn,threshold,threshold_source,delta_f1,delta_auc
42,drop_feature_qlen,feature,qlen,"wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9996684350132626,0.9995393827729157,0.9995393827729157,0.9995393827729157,0.9999978526003399,2170,3860,1,1,0.18,artifact,0.0002302555592659239,8.350998679240718e-07
42,drop_feature_wcount,feature,wcount,"qlen,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999986877002077,2170,3861,0,1,0.18,artifact,0.0,1.1102230246251565e-16
42,drop_feature_sq,feature,sq,"qlen,wcount,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9998205728284033,2170,3861,0,1,0.18,artifact,0.0,0.00017811487180452446
42,drop_feature_dq,feature,dq,"qlen,wcount,sq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999972561004342,2170,3861,0,1,0.18,artifact,0.0,1.4315997736158437e-06
42,drop_feature_puncts,feature,puncts,"qlen,wcount,sq,dq,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9995026525198939,0.9990791896869244,0.9995393827729157,0.9993092332489063,0.9999959438006422,2170,3859,2,1,0.18,artifact,0.00046040508327527263,2.7438995656714482e-06
42,drop_feature_comments,feature,comments,"qlen,wcount,sq,dq,puncts,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999972561004343,2170,3861,0,1,0.18,artifact,0.0,1.4315997735048214e-06
42,drop_feature_spaces,feature,spaces,"qlen,wcount,sq,dq,puncts,comments,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999983298002644,2170,3861,0,1,0.18,artifact,0.0,3.5789994345947207e-07
42,drop_feature_logic,feature,logic,"qlen,wcount,sq,dq,puncts,comments,spaces,arith,alpha,sqlkw,sqlfunc",11,0.9996684350132626,0.9995393827729157,0.9995393827729157,0.9995393827729157,0.9999964210005665,2170,3860,1,1,0.18,artifact,0.0002302555592659239,2.266699641317871e-06
42,drop_feature_arith,feature,arith,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,alpha,sqlkw,sqlfunc",11,0.9995026525198939,0.9995391705069124,0.9990787655458314,0.9993089149965446,0.9999991649001322,2169,3860,1,2,0.18,artifact,0.0004607233356369589,-4.771999243535774e-07
42,drop_feature_alpha,feature,alpha,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999994035000944,2170,3861,0,1,0.18,artifact,0.0,-7.157998865858772e-07
42,drop_feature_sqlkw,feature,sqlkw,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999991649001323,2170,3861,0,1,0.18,artifact,0.0,-4.771999244645997e-07
42,drop_feature_sqlfunc,feature,sqlfunc,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw",11,0.9995026525198939,0.9995391705069124,0.9990787655458314,0.9993089149965446,0.9999971368004531,2169,3860,1,2,0.18,artifact,0.0004607233356369589,1.5508997547319936e-06
43,drop_feature_qlen,feature,qlen,"wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999770944036259,2170,3861,0,1,0.18,artifact,0.0,-9.329258523171902e-05
43,drop_feature_wcount,feature,wcount,"qlen,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.999890005417412,2170,3861,0,1,0.18,artifact,0.0,-6.203599017817751e-06
43,drop_feature_sq,feature,sq,"qlen,wcount,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9998146078293475,2170,3861,0,1,0.18,artifact,0.0,6.919398904670082e-05
43,drop_feature_dq,feature,dq,"qlen,wcount,sq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9998838018183942,2170,3861,0,1,0.18,artifact,0.0,0.0
43,drop_feature_puncts,feature,puncts,"qlen,wcount,sq,dq,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999842524024929,2170,3861,0,1,0.18,artifact,0.0,-0.00010045058409868801
43,drop_feature_comments,feature,comments,"qlen,wcount,sq,dq,puncts,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.999886665017941,2170,3861,0,1,0.18,artifact,0.0,-2.863199546787598e-06
43,drop_feature_spaces,feature,spaces,"qlen,wcount,sq,dq,puncts,comments,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9998620892218313,2170,3861,0,1,0.18,artifact,0.0,2.171259656291724e-05
43,drop_feature_logic,feature,logic,"qlen,wcount,sq,dq,puncts,comments,spaces,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999976140003777,2170,3861,0,1,0.18,artifact,0.0,-0.00011381218198347476
43,drop_feature_arith,feature,arith,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9997822775344654,2170,3861,0,1,0.18,artifact,0.0,0.00010152428392884438
43,drop_feature_alpha,feature,alpha,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9998740192199428,2170,3861,0,1,0.18,artifact,0.0,9.782598451413271e-06
43,drop_feature_sqlkw,feature,sqlkw,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999835366026062,2170,3861,0,1,0.18,artifact,0.0,-9.973478421199111e-05
43,drop_feature_sqlfunc,feature,sqlfunc,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw",11,1.0,1.0,1.0,1.0,1.0,2171,3861,0,0,0.18,artifact,-0.00023036166781842393,-0.00011619818160579776
44,drop_feature_qlen,feature,qlen,"wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9991710875331565,0.9990783410138249,0.9986181483187471,0.9988481916609077,0.9999977333003587,2168,3859,2,3,0.18,artifact,0.0,4.77199924575622e-07
44,drop_feature_wcount,feature,wcount,"qlen,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9991710875331565,0.9990783410138249,0.9986181483187471,0.9988481916609077,0.999997971900321,2168,3859,2,3,0.18,artifact,0.0,2.3859996223229984e-07
44,drop_feature_sq,feature,sq,"qlen,wcount,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9995026525198939,1.0,0.9986181483187471,0.9993085964507951,0.9997930145327658,2168,3861,0,3,0.18,artifact,-0.0004604047898874031,0.0002051959675174464
44,drop_feature_dq,feature,dq,"qlen,wcount,sq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9991710875331565,0.9990783410138249,0.9986181483187471,0.9988481916609077,0.9999983298002644,2168,3859,2,3,0.18,artifact,0.0,-1.1929998111614992e-07
44,drop_feature_puncts,feature,puncts,"qlen,wcount,sq,dq,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9991710875331565,0.9990783410138249,0.9986181483187471,0.9988481916609077,0.9999990456001511,2168,3859,2,3,0.18,artifact,0.0,-8.350998678130495e-07
44,drop_feature_comments,feature,comments,"qlen,wcount,sq,dq,puncts,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9991710875331565,0.9990783410138249,0.9986181483187471,0.9988481916609077,0.9999982105002831,2168,3859,2,3,0.18,artifact,0.0,1.1102230246251565e-16
44,drop_feature_spaces,feature,spaces,"qlen,wcount,sq,dq,puncts,comments,logic,arith,alpha,sqlkw,sqlfunc",11,0.9991710875331565,0.9990783410138249,0.9986181483187471,0.9988481916609077,0.999997971900321,2168,3859,2,3,0.18,artifact,0.0,2.3859996223229984e-07
44,drop_feature_logic,feature,logic,"qlen,wcount,sq,dq,puncts,comments,spaces,arith,alpha,sqlkw,sqlfunc",11,0.9995026525198939,0.9990791896869244,0.9995393827729157,0.9993092332489063,0.9999996421000568,2170,3859,2,1,0.18,artifact,-0.00046104158799864514,-1.4315997735048214e-06
44,drop_feature_arith,feature,arith,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,alpha,sqlkw,sqlfunc",11,0.9993368700265252,0.9995389580451821,0.9986181483187471,0.9990783410138249,0.9997467261400933,2168,3860,1,3,0.18,artifact,-0.00023014935291720828,0.00025148436018995746
44,drop_feature_alpha,feature,alpha,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,sqlkw,sqlfunc",11,0.9995026525198939,1.0,0.9986181483187471,0.9993085964507951,0.9999990456001511,2168,3861,0,3,0.18,artifact,-0.0004604047898874031,-8.350998678130495e-07
44,drop_feature_sqlkw,feature,sqlkw,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlfunc",11,0.9991710875331565,0.9990783410138249,0.9986181483187471,0.9988481916609077,0.9999985684002266,2168,3859,2,3,0.18,artifact,0.0,-3.5789994334844977e-07
44,drop_feature_sqlfunc,feature,sqlfunc,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw",11,0.9990053050397878,0.9990779160903642,0.9981575310916628,0.9986175115207373,0.9999842524024929,2167,3859,2,4,0.18,artifact,0.00023068014017035843,1.3958097790367496e-05
45,drop_feature_qlen,feature,qlen,"wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999887858017753,2170,3861,0,1,0.18,artifact,0.0,-2.8989895410891364e-05
45,drop_feature_wcount,feature,wcount,"qlen,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999595573064022,2170,3861,0,1,0.18,artifact,0.0,2.3859996223229984e-07
45,drop_feature_sq,feature,sq,"qlen,wcount,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9998869036179031,2170,3861,0,1,0.18,artifact,0.0,7.289228846130147e-05
45,drop_feature_dq,feature,dq,"qlen,wcount,sq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999545467071953,2170,3861,0,1,0.18,artifact,0.0,5.249199169110597e-06
45,drop_feature_puncts,feature,puncts,"qlen,wcount,sq,dq,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9995026525198939,1.0,0.9986181483187471,0.9993085964507951,0.9999980912003023,2168,3861,0,3,0.18,artifact,0.0004610418813865147,-3.8295293937840036e-05
45,drop_feature_comments,feature,comments,"qlen,wcount,sq,dq,puncts,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999577678066853,2170,3861,0,1,0.18,artifact,0.0,2.028099679085571e-06
45,drop_feature_spaces,feature,spaces,"qlen,wcount,sq,dq,puncts,comments,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999560976069497,2170,3861,0,1,0.18,artifact,0.0,3.69829941471167e-06
45,drop_feature_logic,feature,logic,"qlen,wcount,sq,dq,puncts,comments,spaces,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999998807000189,2170,3861,0,1,0.18,artifact,0.0,-4.008479365447126e-05
45,drop_feature_arith,feature,arith,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.999877359619414,2170,3861,0,1,0.18,artifact,0.0,8.243628695037142e-05
45,drop_feature_alpha,feature,alpha,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999581257066287,2170,3861,0,1,0.18,artifact,0.0,1.6701997357371212e-06
45,drop_feature_sqlkw,feature,sqlkw,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999972561004342,2170,3861,0,1,0.18,artifact,0.0,-3.746019406980494e-05
45,drop_feature_sqlfunc,feature,sqlfunc,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw",11,0.9996684350132626,1.0,0.9990787655458314,0.9995391705069124,1.0,2169,3861,0,2,0.18,artifact,0.00023046782526914278,-4.020409363558741e-05
46,drop_feature_qlen,feature,qlen,"wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999770944036259,2170,3861,0,1,0.18,artifact,0.0,-4.831649235148561e-05
46,drop_feature_wcount,feature,wcount,"qlen,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999266305116143,2170,3861,0,1,0.18,artifact,0.0,2.1473996600906986e-06
46,drop_feature_sq,feature,sq,"qlen,wcount,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9997295469428126,2170,3861,0,1,0.18,artifact,0.0,0.00019923096846186095
46,drop_feature_dq,feature,dq,"qlen,wcount,sq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999287779112744,2170,3861,0,1,0.18,artifact,0.0,0.0
46,drop_feature_puncts,feature,puncts,"qlen,wcount,sq,dq,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999954666007176,2170,3861,0,1,0.18,artifact,0.0,-6.668868944315065e-05
46,drop_feature_comments,feature,comments,"qlen,wcount,sq,dq,puncts,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.999938799109688,2170,3861,0,1,0.18,artifact,0.0,-1.0021198413534549e-05
46,drop_feature_spaces,feature,spaces,"qlen,wcount,sq,dq,puncts,comments,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9998907212172987,2170,3861,0,1,0.18,artifact,0.0,3.805669397571876e-05
46,drop_feature_logic,feature,logic,"qlen,wcount,sq,dq,puncts,comments,spaces,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.999999880700019,2170,3861,0,1,0.18,artifact,0.0,-7.110278874455922e-05
46,drop_feature_arith,feature,arith,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.999953353707384,2170,3861,0,1,0.18,artifact,0.0,-2.4575796109593817e-05
46,drop_feature_alpha,feature,alpha,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999951087007742,2170,3861,0,1,0.18,artifact,0.0,-6.63307894998022e-05
46,drop_feature_sqlkw,feature,sqlkw,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999745891040225,2170,3861,0,1,0.18,artifact,0.0,-4.581119274804646e-05
46,drop_feature_sqlfunc,feature,sqlfunc,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw",11,0.9996684350132626,1.0,0.9990787655458314,0.9995391705069124,1.0,2169,3861,0,2,0.18,artifact,0.00023046782526914278,-7.122208872556435e-05
